,flood_DERP_RW_H_4326_2080428500,flood_DERP_RW_H_4326_2080430240,flood_DERP_RW_H_4326_2080430320,flood_DERP_RW_L_4326_2080428500,flood_DERP_RW_L_4326_2080430240,flood_DERP_RW_L_4326_2080430320,flood_DERP_RW_M_4326_2080428500,flood_DERP_RW_M_4326_2080430240,flood_DERP_RW_M_4326_2080430320
614,,,,,"(2418546.779788723, 3570709.222424342)","(5538.088438649334, 54559.869293778924)",,"(505288.63574603136, 1237475.5315299102)","(1712.1502646565732, 5538.088420049236)"
615,,,,,"(4813012.140222147, 4813012.140222147)",,,"(929084.6114999224, 3264508.401032808)",
651,,,,,"(5527589.293621615, 8926595.996990152)",,,"(740259.0635409814, 2472766.300766291)",
10,,,,,,"(0.0, 9538.458540781243)",,,"(0.0, 9538.458526949089)"
201,,,,,,"(0.0, 197168.74271752097)",,,"(0.0, 48656.356492028965)"
202,,,,,,"(12128.711987763007, 27918.633579702564)",,,"(1925.40409057373, 12128.712068542514)"
212,,,,,,"(11999.26778318863, 76981.95816527182)",,,"(1074.0970223210452, 24580.976344370927)"
264,,,,,,"(0.0, 51618.47910117752)",,,
401,,,,,,"(0.0, 2590.1234807619157)",,,
403,,,,,,"(1390910.7287675939, 3952157.1914840136)",,,"(0.0, 71593.07057404262)"
404,,,,,,"(1305120.6429524194, 4527549.546806867)",,,"(2797.285607656744, 212624.4742819368)"
406,,,,,,"(0.0, 3207.504370694001)",,,
497,,,,,,"(0.0, 6185.008003843068)",,,"(0.0, 6185.007996105462)"
517,,,,,,"(0.0, 194472.57433689153)",,,"(0.0, 51813.23169499447)"
555,,,,,,"(0.0, 37453.42677581472)",,,
622,,,,,,"(128385.74995693775, 272473.07958319015)",,,
644,,,,,,"(10594.921892630493, 166900.51332338995)",,,"(9814.36975592241, 34623.63346211864)"
653,,,,,,"(291022.463526562, 1072136.0725308575)",,,"(0.0, 43024.443555054466)"
658,,,,,,"(15889.780227378225, 196008.18868698375)",,,
659,,,,,,"(0.0, 9569.855905245477)",,,
660,,,,,,"(337771.9025259453, 730035.290079697)",,,
662,,,,,,"(60659.439637700176, 193721.53492513933)",,,"(0.0, 3150.0785461512414)"
663,,,,,,"(0.0, 9615.24500420829)",,,
