,total_eur,freight_eur,passengers_eur
flood_DERP_RW_H,5929015.800494674,2831168.0312639046,3097847.769230769
flood_DERP_RW_M,11858031.600989347,5662336.062527809,6195695.538461538
flood_DERP_RW_L,103133716.93150929,61066851.54689389,42066865.38461539
